Black_Eyed_Peas-Lets_Get_It_Started.140,2,2,2.17E-09,0.9999999979
David_Guetta_ft_Akon-Sexy_Bitch.70,2,2,9.59E-09,0.9999999905
Avicii-Levels.060,2,2,1.35E-08,0.9999999866
Avicii-Levels.030,2,2,2.39E-08,0.9999999764
Billy_Talent-Devil_In_A_Midnight_Mass.030,2,2,4.46E-08,0.9999999558
Lil_Kim-How_many_licks.40,2,2,5.96E-08,0.9999999409
Black_Eyed_Peas-Rock_That_Body.190,2,2,1.23E-07,0.9999998778
Black_Eyed_Peas-Rock_That_Body.058,2,2,1.57E-07,0.9999998445
Billy_Talent-Devil_In_A_Midnight_Mass.188,2,2,1.58E-07,0.999999843
Black_Eyed_Peas-Boom_Boom_Pow.138,2,2,1.71E-07,0.9999998309
Black_Eyed_Peas-Rock_That_Body.142,2,2,2.35E-07,0.999999767
Lady_Gaga-Love_Games.40,2,2,2.42E-07,0.9999997602
Black_Eyed_Peas-Imma_Be.030,2,2,2.50E-07,0.9999997526
Billy_Talent-Devil_In_A_Midnight_Mass.094,2,2,2.53E-07,0.9999997494
Billy_Talent-Devil_In_A_Midnight_Mass.176,2,2,3.05E-07,0.9999996982
Billy_Talent-Devil_In_A_Midnight_Mass.146,2,2,3.08E-07,0.9999996947
Black_Eyed_Peas-Lets_Get_It_Started.200,2,2,3.17E-07,0.999999686
Black_Eyed_Peas-My-Humps.032,2,2,3.41E-07,0.9999996624
Black_Eyed_Peas-Rock_That_Body.158,2,2,3.56E-07,0.9999996466
Black_Eyed_Peas-Rock_That_Body.126,2,2,3.60E-07,0.9999996431
Avicii-Levels.040,2,2,3.66E-07,0.999999637
Billy_Talent-Devil_In_A_Midnight_Mass.140,2,2,3.77E-07,0.9999996271
Billy_Talent-Devil_In_A_Midnight_Mass.090,2,2,3.98E-07,0.9999996059
Black_Eyed_Peas-Lets_Get_It_Started.172,2,2,4.18E-07,0.9999995858
KISS-Love_Gun.40,2,2,4.26E-07,0.999999578
Black_Eyed_Peas-Lets_Get_It_Started.170,2,2,4.33E-07,0.9999995714
